|PPM 359611|12 46 16.824|-68 06 28.80|-0.0064| -0.0110|  3.3|B3        |D    |STAR B3|
|PPM 353975|04 14 25.488|-62 28 25.68| 0.0065|  0.0450|  3.3|G5        |D F  |STAR G5|
|PPM 355624|06 48 11.448|-61 56 29.04|-0.0098|  0.2690|  3.3|A5        |F    |STAR A5|
|PPM 358058|10 32 01.440|-61 41 07.44|-0.0027|  0.0090|  3.3|B5        |F    |STAR B5|
|PPM 333592|04 33 59.784|-55 02 42.36| 0.0060| -0.0030|  3.3|A0        |D F  |STAR A0|
|PPM 311853|07 29 13.848|-43 18 05.40|-0.0050|  0.1870|  3.3|K5        |D F  |STAR K5|
|PPM 322687|17 12 09.216|-43 14 21.12| 0.0022| -0.2870|  3.3|F2        |F    |STAR F2|
|PPM 307195|02 58 15.696|-40 18 16.92|-0.0039|  0.0190|  3.3|A2        |D F  |STAR A2|
|PPM 269319|19 06 56.424|-27 40 13.44|-0.0040| -0.2500|  3.3|K0        |F    |STAR K0|
|PPM 262489|14 06 22.296|-26 40 56.64| 0.0033| -0.1390|  3.3|K0        |F    |STAR K0|
|PPM 263746|15 04 04.224|-25 16 55.20|-0.0054| -0.0430|  3.3|M3        |F    |STAR M3|
|PPM 266753|17 22 00.576|-24 59 58.20|-0.0003| -0.0200|  3.3|B3        |F    |STAR B3|
|PPM 253258|07 49 17.664|-24 51 35.28|-0.0002| -0.0020|  3.3|G0        |D F  |STAR G0|
|PPM 215444|05 12 55.896|-16 12 19.80| 0.0030| -0.0260|  3.3|A0        |F    |STAR A0|
|PPM 240921|22 54 39.024|-15 49 14.88|-0.0028| -0.0250|  3.3|A2        |F    |STAR A2|
|PPM 201263|17 59 01.608|-09 46 24.96|-0.0004| -0.1160|  3.3|K0        |F    |STAR K0|
|PPM 201654|18 21 18.600|-02 53 55.68|-0.0365| -0.7000|  3.3|K0        |D F  |STAR K0|
|PPM 128087|11 14 14.400|+15 25 46.20|-0.0042| -0.0790|  3.3|A0        |F    |STAR A0|
|PPM 65514 |00 39 19.704|+30 51 39.60| 0.0106| -0.0910|  3.3|K2        |D F  |STAR K2|
|PPM 81887 |18 50 04.800|+33 21 45.72| 0.0003| -0.0030|  3.3|B8        |D F  |STAR B8|
|PPM 68074 |03 05 10.584|+38 50 25.08| 0.0111| -0.1060|  3.3|M3        |F    |STAR M3|
|PPM 33469 |12 15 25.560|+57 01 57.36| 0.0127|  0.0090|  3.3|A2        |D F  |STAR A2|
|PPM 40311 |22 10 51.288|+58 12 04.32| 0.0019|  0.0040|  3.3|K0        |F    |STAR K0|
|PPM 34972 |15 24 55.752|+58 57 57.96|-0.0012|  0.0170|  3.3|K0        |D F  |STAR K0|
